eval_level,数据集划分,baseline_name,目标变量,预测天数,row_count,MAE,RMSE,sMAPE
target_variable_horizon,测试,weekday_horizon_mean,HUFL,2,107.0,2.3418130581068817,2.9277253531738645,0.157834420313894
target_variable_horizon,测试,weekday_horizon_mean,HUFL,3,107.0,2.3402360693550714,2.9282503027431623,0.15739552568707768
target_variable_horizon,测试,weekday_horizon_mean,HUFL,4,107.0,2.3654768407874918,2.956957078973023,0.15888315093494934
target_variable_horizon,测试,weekday_horizon_mean,HUFL,5,107.0,2.3739270869110016,2.965038208181979,0.15882874124557483
target_variable_horizon,测试,weekday_horizon_mean,HUFL,6,107.0,2.408522014038093,3.0061105988477097,0.16078616925320247
target_variable_horizon,测试,weekday_horizon_mean,HUFL,7,107.0,2.4529326735759414,3.042323553379234,0.16374583769604995
target_variable_horizon,测试,weekday_horizon_mean,HUFL,8,107.0,2.4612667572675186,3.0478969727711775,0.16425117534734243
target_variable_horizon,测试,weekday_horizon_mean,HUFL,9,107.0,2.4652987536791953,3.055689797084071,0.16449140290602587
target_variable_horizon,测试,weekday_horizon_mean,HUFL,10,107.0,2.484888124699745,3.0742479966050404,0.1659418312625977
target_variable_horizon,测试,weekday_horizon_mean,HUFL,11,107.0,2.4881085962311276,3.075165714961388,0.1662273414662682
target_variable_horizon,测试,weekday_horizon_mean,HUFL,12,107.0,2.498978794296734,3.0822381329751294,0.16712530843030213
target_variable_horizon,测试,weekday_horizon_mean,HUFL,13,107.0,2.50330280460489,3.084012731250553,0.16762064685141795
target_variable_horizon,测试,weekday_horizon_mean,HUFL,14,107.0,2.511397881802148,3.091063742510758,0.16838883183259856
target_variable_horizon,测试,weekday_horizon_mean,HULL,1,107.0,1.2599434997622694,1.6030173683076498,0.27369101631043813
target_variable_horizon,测试,weekday_horizon_mean,HULL,2,107.0,1.2599983110486894,1.6042224071211804,0.27614472755454
target_variable_horizon,测试,weekday_horizon_mean,HULL,3,107.0,1.2533189779093954,1.5890598801586666,0.2773980118001893
target_variable_horizon,测试,weekday_horizon_mean,HULL,4,107.0,1.2614822301948694,1.593318501655218,0.2801320942582277
target_variable_horizon,测试,weekday_horizon_mean,HULL,5,107.0,1.2720325442912914,1.5976591131241666,0.28317804704168104
target_variable_horizon,测试,weekday_horizon_mean,HULL,6,107.0,1.2392064657334008,1.5544295777198542,0.27767357974218454
target_variable_horizon,测试,weekday_horizon_mean,HULL,7,107.0,1.2263664898082816,1.5368482983322738,0.27665057994488695
target_variable_horizon,测试,weekday_horizon_mean,HULL,8,107.0,1.2218636849548006,1.5321241348970633,0.27701881650775795
target_variable_horizon,测试,weekday_horizon_mean,HULL,9,107.0,1.225285288516338,1.539377286738129,0.2784679255400223
target_variable_horizon,测试,weekday_horizon_mean,HULL,10,107.0,1.2507699209219147,1.5672765109612232,0.28855272418867933
target_variable_horizon,测试,weekday_horizon_mean,HULL,11,107.0,1.2675536480311993,1.5790556898675172,0.2959497585338806
target_variable_horizon,测试,weekday_horizon_mean,HULL,12,107.0,1.2827192943558687,1.5910834318424674,0.30150158959549767
target_variable_horizon,测试,weekday_horizon_mean,HULL,13,107.0,1.2911375832449283,1.597534146459698,0.3055272358261575
target_variable_horizon,测试,weekday_horizon_mean,HULL,14,107.0,1.305194223941869,1.6086822585922809,0.31164130405747964
target_variable_horizon,测试,weekday_horizon_mean,LUFL,1,107.0,0.8651757560697652,1.0997588752884218,0.18582524409593865
target_variable_horizon,测试,weekday_horizon_mean,LUFL,2,107.0,0.8671103801872628,1.1011306793192848,0.18602663867176858
target_variable_horizon,测试,weekday_horizon_mean,LUFL,3,107.0,0.8643644628042645,1.0999217588868786,0.1850151100314299
target_variable_horizon,测试,weekday_horizon_mean,LUFL,4,107.0,0.8707909651209117,1.105518364757442,0.18622288701212944
target_variable_horizon,测试,weekday_horizon_mean,LUFL,5,107.0,0.8721357125394165,1.1072311965839288,0.18612615046024744
target_variable_horizon,测试,weekday_horizon_mean,LUFL,6,107.0,0.885231009306237,1.1190879463459196,0.18878310799324996
target_variable_horizon,测试,weekday_horizon_mean,LUFL,7,107.0,0.8937327710411064,1.12821277302716,0.19049150682267468
target_variable_horizon,测试,weekday_horizon_mean,LUFL,8,107.0,0.8932262538944802,1.1291831181634646,0.19017392164922203
target_variable_horizon,测试,weekday_horizon_mean,LUFL,9,107.0,0.8920958048114932,1.1287524861635658,0.18969560418903633
target_variable_horizon,测试,weekday_horizon_mean,LUFL,10,107.0,0.8910204798898034,1.1303593215994576,0.1892918070148309
target_variable_horizon,测试,weekday_horizon_mean,LUFL,11,107.0,0.8832372127585925,1.1239661419586386,0.1872835635153155
target_variable_horizon,测试,weekday_horizon_mean,LUFL,12,107.0,0.8810754136401525,1.1213181838926216,0.18666837536162137
target_variable_horizon,测试,weekday_horizon_mean,LUFL,13,107.0,0.8830819769779666,1.121836639852867,0.187328947147488
target_variable_horizon,测试,weekday_horizon_mean,LUFL,14,107.0,0.8839849199873011,1.1223162971667824,0.18730949708342515
target_variable_horizon,测试,weekday_horizon_mean,LULL,1,107.0,0.28254403812477974,0.32497820944751665,0.22810204096412057
target_variable_horizon,测试,weekday_horizon_mean,LULL,2,107.0,0.2899936429538356,0.3331853882051073,0.23609961394890783
target_variable_horizon,测试,weekday_horizon_mean,LULL,3,107.0,0.29733898331517067,0.3403031040215862,0.24430347806342229
target_variable_horizon,测试,weekday_horizon_mean,LULL,4,107.0,0.30284849672208275,0.3465697860586078,0.25083007002334373
target_variable_horizon,测试,weekday_horizon_mean,LULL,5,107.0,0.30912876412008006,0.3532959814689627,0.25785743497899855
target_variable_horizon,测试,weekday_horizon_mean,LULL,6,107.0,0.3142767202285714,0.3572854013686315,0.26407650182277437
target_variable_horizon,测试,weekday_horizon_mean,LULL,7,107.0,0.3194989210979477,0.36256257065873926,0.2703732358931718
target_variable_horizon,测试,weekday_horizon_mean,LULL,8,107.0,0.3218328293577722,0.3639628771310223,0.27391578312580817
target_variable_horizon,测试,weekday_horizon_mean,LULL,9,107.0,0.3260580776257791,0.36718367138933883,0.27838669038910824
target_variable_horizon,测试,weekday_horizon_mean,LULL,10,107.0,0.32956232681767306,0.3697784058215721,0.2820766867422844
target_variable_horizon,测试,weekday_horizon_mean,LULL,11,107.0,0.32804761384728587,0.36970449254028703,0.2812344888623212
target_variable_horizon,测试,weekday_horizon_mean,LULL,12,107.0,0.3268264163749038,0.3697739367987062,0.280602586156283
target_variable_horizon,测试,weekday_horizon_mean,LULL,13,107.0,0.32720628245869543,0.3698674891381259,0.28140198820469875
target_variable_horizon,测试,weekday_horizon_mean,LULL,14,107.0,0.32756272262267405,0.37144371754910643,0.28195737056428877
target_variable_horizon,测试,weekday_horizon_mean,MUFL,1,107.0,1.5443448757941334,2.0242617435954458,0.13964433583468266
target_variable_horizon,测试,weekday_horizon_mean,MUFL,2,107.0,1.5517162089163756,2.0258074781749333,0.14029483282433983
target_variable_horizon,测试,weekday_horizon_mean,MUFL,3,107.0,1.5475693747533927,2.0266827089415993,0.1397616728907051
target_variable_horizon,测试,weekday_horizon_mean,MUFL,4,107.0,1.5639137901904896,2.0393907509551417,0.14124137313242743
target_variable_horizon,测试,weekday_horizon_mean,MUFL,5,107.0,1.5638558614376536,2.0365074175846822,0.14070733496397148
target_variable_horizon,测试,weekday_horizon_mean,MUFL,6,107.0,1.5872163465735152,2.0592849781239804,0.14267393379554544
target_variable_horizon,测试,weekday_horizon_mean,MUFL,7,107.0,1.6120524343253404,2.075279890716345,0.144981374004154
target_variable_horizon,测试,weekday_horizon_mean,MUFL,8,107.0,1.613972325838806,2.076049818181603,0.14516150963412333
target_variable_horizon,测试,weekday_horizon_mean,MUFL,9,107.0,1.626952224594461,2.0870452741226257,0.14652184968612814
target_variable_horizon,测试,weekday_horizon_mean,MUFL,10,107.0,1.6514751078217846,2.1053486741597944,0.149091588023605
target_variable_horizon,测试,weekday_horizon_mean,MUFL,11,107.0,1.6629756583829869,2.110249947420216,0.15038450558105046
target_variable_horizon,测试,weekday_horizon_mean,MUFL,12,107.0,1.683559198837486,2.1242396578913554,0.15274763470925518
